address,price,sold_date,sold_type,bedrooms,bathroom,car_space,land_size (m2),house_type
"155 Finchs Road,SMYTHES CREEK VIC 9,",515000,19 Mar 2025,private treaty,1,1,3.0,195.0,House
"11 Cards Lane,OLINDA VIC 6,",760000,01 Feb 2025,private treaty,1,1,3.0,594.0,House
"4 Willsmore Street,WILLIAMSTOWN NORTH VIC",1000000,13 Nov 2024,private treaty,1,1,3.0,934.0,House
"156 Seventh Street,MILDURA VIC",395000,06 Nov 2024,private treaty,1,1,3.0,760.0,House
"79 Carpenter Street,LAKES ENTRANCE VIC",320000,29 Oct 2024,private treaty,1,1,3.0,588.0,House
"87-89 Railway Road,GREAT WESTERN VIC 2,",255000,20 Sep 2024,private treaty,1,1,3.0,426.0,House
"34 High Street,YANDOIT VIC 6,",505000,01 Jun 2024,private treaty,1,1,3.0,744.0,House
"35 Young Street,FLINDERS VIC",1275000,27 Dec 2023,private treaty,1,1,3.0,665.0,House
"50 Tucker Street,BREAKWATER VIC 1,",500000,27 Oct 2023,private treaty,1,1,3.0,112.0,House
"64 Johnsons Road,BUMBERRAH VIC 1.43ha",525000,20 Oct 2023,private treaty,1,1,3.0,112.0,House
"73 Grant Street,ALEXANDRA VIC",365000,03 Aug 2023,private treaty,1,1,3.0,240.0,House
"4 Sylvia Court,MALLACOOTA VIC",440000,03 Oct 2022,private treaty,1,1,3.0,986.0,House
"521 Linton-Carngham Road,SNAKE VALLEY VIC 2.02ha",470000,03 Aug 2022,private treaty,1,1,3.0,986.0,House
"49 Main st,COWWARR VIC 1,",350000,07 Jul 2022,private treaty,1,1,3.0,11.0,House
"8 Main Street,EILDON VIC",245000,14 Jun 2022,private treaty,1,1,3.0,11.0,House
"16 Cape Schanck Road,CAPE SCHANCK VIC",910000,25 Feb 2022,private treaty,1,1,3.0,869.0,House
"1/20 Winchester Street,FOSTER VIC",275000,11 Feb 2022,private treaty,1,1,3.0,869.0,House
"23-29 Scott Street,GLENTHOMPSON VIC 1,",192000,21 Jan 2022,private treaty,1,1,3.0,933.0,House
"64 Lanteris Road,WY YUNG VIC 4,",335000,20 Dec 2021,private treaty,1,1,3.0,711.0,House
"1248 Barkstead Road,MOLLONGGHIP VIC 5.5ha",767157,06 Dec 2021,private treaty,1,1,3.0,711.0,House
"28 Towong Street,TALLANGATTA VIC",329000,04 Oct 2021,private treaty,1,1,3.0,802.0,House
"16 Oasis Avenue,MICKLEHAM VIC",325000,15 May 2021,private treaty,1,1,3.0,350.0,New house and land
"979 Canterbury Road,BOX HILL VIC",1275000,27 Feb 2021,auction,1,1,3.0,674.0,House
"71-73 McBride Avenue,WONTHAGGI VIC",615000,08 Dec 2020,private treaty,1,1,3.0,418.0,House
"6 Reynolds Street,FRYERSTOWN VIC 3,",290000,03 Dec 2020,private treaty,1,1,3.0,745.0,House
"3/31-39 Northview Drive,SUNSHINE WEST VIC",515000,28 Sep 2020,private treaty,1,1,3.0,745.0,House
"15 Sherriff Close,MILLGROVE VIC 24,",675500,12 May 2020,private treaty,1,1,3.0,281.0,House
"10 Adair Street,MALDON VIC",300000,17 Mar 2020,private treaty,1,1,3.0,997.0,House
"16 Melaleuca Avenue,WALKERVILLE VIC",285000,24 Feb 2020,private treaty,1,1,3.0,600.0,House
"13 Lyndall Road,BELGRAVE SOUTH VIC 1,",450000,04 Dec 2019,private treaty,1,1,3.0,3.0,House
"86 Standish Street,MYRTLEFORD VIC",263000,21 Nov 2019,private treaty,1,1,3.0,713.0,House
"35 Rose Street,FITZROY VIC",3040000,27 May 2019,private treaty,1,1,3.0,713.0,House
"16 Cape Schanck Road,CAPE SCHANCK VIC",602000,29 Mar 2019,private treaty,1,1,3.0,864.0,House
"196 Mount Lookout Road,MOUNT TAYLOR VIC 6,",400000,22 Sep 2018,private treaty,1,1,3.0,202.0,House
"196 Mount Lookout Road,MOUNT TAYLOR VIC 6,",400000,22 Sep 2018,private treaty,1,1,3.0,202.0,House
"13 William Hunter Drive,MARLO VIC 5,",218000,06 Aug 2018,private treaty,1,1,3.0,1.0,House
"225 Old Colac Road,BEECH FOREST VIC 1,",230000,23 May 2018,private treaty,1,1,3.0,470.0,House
"861 Glen Huntly Road,CAULFIELD VIC",1200000,17 May 2018,auction,1,1,3.0,470.0,House
"64 Johnsons Road,BUMBERRAH VIC 1.42ha",329000,30 Jan 2018,private treaty,1,1,3.0,470.0,House
"64 Johnsons Road,BUMBERRAH VIC 1.42ha",329000,30 Jan 2018,private treaty,1,1,3.0,470.0,House
"3-5 McLaren Street,BENDIGO VIC",400000,02 Nov 2017,private treaty,1,1,3.0,470.0,House
"14 Campbell Street,EAST GEELONG VIC",505000,16 Aug 2017,private treaty,1,1,3.0,523.0,House
"90 Biddles Road,APOLLO BAY VIC 6.07ha",455000,27 Jul 2017,private treaty,1,1,3.0,523.0,House
"111 Bushby Lane,DIMBOOLA VIC",85000,02 Jun 2017,private treaty,1,1,3.0,523.0,House
"121 Jodie Street, Vara-Ville ge,MOOROOPNA VIC",15990,23 May 2017,private treaty,1,1,3.0,523.0,Villa
"30 Thomas Street,WILLIAMSTOWN VIC",981000,25 Mar 2017,auction,1,1,3.0,523.0,House
"7-9 Hodge Street,BEECHWORTH VIC 1,",337500,17 Feb 2017,private treaty,1,1,3.0,411.0,House
"6 Lux Way,BRUNSWICK VIC",915000,25 Jun 2016,auction,1,1,3.0,411.0,House
"104-106 Dunsmore Road,COWES VIC 1,",450000,22 Feb 2016,private treaty,1,1,3.0,500.0,House
"19 Pelican Street,LOCH SPORT VIC",235000,20 Jan 2016,private treaty,1,1,3.0,839.0,House
"745 Blackwood Road,NEWBURY VIC 12.55ha",284400,29 Nov 2015,private treaty,1,1,3.0,839.0,House
"65 Stony Creek Road,DAYLESFORD VIC",315000,12 Sep 2015,private treaty,1,1,3.0,900.0,House
"77 Mitchell Street,BENTLEIGH VIC",1225000,01 Aug 2015,private treaty,1,1,3.0,900.0,House
"135 Collie Road,GEMBROOK VIC 6,",316000,28 May 2015,private treaty,1,1,3.0,801.0,House
"23 Victoria Crescent,ST ALBANS VIC",900000,19 Feb 2015,sold prior to auction,1,1,3.0,804.0,House
"9 Buckie Street,CALIFORNIA GULLY VIC",195000,12 Jan 2015,private treaty,1,1,3.0,622.0,House
"4 Tobruk Crescent,WILLIAMSTOWN VIC",1010000,21 Nov 2014,sold prior to auction,1,1,3.0,622.0,House
"16 Briagolong Road,STRATFORD VIC",176500,22 Sep 2014,private treaty,1,1,3.0,622.0,House
"31 Fifth Avenue,ALTONA NORTH VIC",550000,28 Jul 2014,auction,1,1,3.0,622.0,House
"5988 Midland Highway,MOUNT FRANKLIN VIC",490000,01 May 2014,private treaty,1,1,3.0,622.0,House
"51 Barrabool Road,BELMONT VIC",280000,24 Oct 2013,private treaty,1,1,3.0,651.0,House
"7 Hatchett Street,MURTOA VIC 3,",95000,09 Oct 2013,private treaty,1,1,3.0,667.0,House
"104 Shelford- Rokewood Road,SHELFORD VIC",315000,14 May 2013,private treaty,1,1,3.0,667.0,House
"86 Fairview DRIVE,CLUNES VIC",170000,03 May 2012,private treaty,1,1,3.0,667.0,House
"1 Banool Avenue,MOUNT EVELYN VIC",303330,06 Dec 2011,private treaty,1,1,3.0,667.0,House
"232 Spillers Road,MACCLESFIELD VIC 4.05ha",500000,12 Nov 2011,private treaty,1,1,3.0,667.0,House
WON WRON VIC,295000,02 May 2011,private treaty,1,1,3.0,667.0,House
WON WRON VIC 2.43ha,295000,23 Feb 2011,private treaty,1,1,3.0,667.0,House
"2132 Pyrenees Highway,MUCKLEFORD SOUTH VIC 59,",749000,31 Jan 2025,private treaty,1,1,4.0,264.0,House
"2521 Logan Wedderburn Road,LOGAN VIC 2,",215000,09 Dec 2024,private treaty,1,1,4.0,19.0,House
"119 High Street,MALDON VIC 1,",395000,09 Dec 2024,private treaty,1,1,4.0,12.0,House
"1 Begg Street,KYNETON VIC 1,",600000,14 Nov 2024,private treaty,1,1,4.0,39.0,House
"75 Playfair Street,EDDINGTON VIC 6,",149000,09 Oct 2024,private treaty,1,1,4.0,571.0,Vacant land
"325 Heathcote East Baynton Road,ARGYLE VIC 161,",620000,11 Jun 2024,private treaty,1,1,4.0,874.0,House
"85 Whittles Road,MOUNT GLASGOW VIC 4.05ha",540000,05 Jun 2024,private treaty,1,1,4.0,874.0,House
"50 Clifton Street,EUROA VIC",317500,16 May 2024,private treaty,1,1,4.0,801.0,House
"139 Cantillons Road,BULLARTO VIC 130,",750000,23 Mar 2024,private treaty,1,1,4.0,0.0,House
"13 Forrest Avenue,NEWHAVEN VIC",495000,23 Mar 2024,private treaty,1,1,4.0,329.0,House
"220 Garry Road,KERNOT VIC 81.34ha",1800000,26 Feb 2024,private treaty,1,1,4.0,329.0,House
"74 Sharrocks Road,MOUNT EGERTON VIC 4.05ha",500000,23 Feb 2024,private treaty,1,1,4.0,329.0,House
"6 Trevor Street,BALLARAT EAST VIC",450000,29 Jan 2024,private treaty,1,1,4.0,854.0,House
"5275 Midland Highway,ELAINE VIC 2,",475000,17 Jan 2024,private treaty,1,1,4.0,503.0,House
