address,price,sold_date,sold_type,bedrooms,bathroom,car_space,land_size (m2),house_type
"61 Mackay Street,ROCHESTER VIC",170000,01 Apr 2025,private treaty,1,1,0.0,302.0,House
"21 Mine Road,KORUMBURRA VIC",327000,28 Mar 2025,private treaty,1,1,0.0,445.0,House
"150 Silverleaves Avenue,SILVERLEAVES VIC 1,",555000,28 Mar 2025,private treaty,1,1,0.0,110.0,House
"2969 Natimuk-Hamilton Road,TOOLONDO VIC 1,",110000,26 Mar 2025,private treaty,1,1,0.0,502.0,House
"45 McMillan Street,CLAYTON SOUTH VIC 1,",1485000,24 Mar 2025,private treaty,1,1,0.0,81.0,House
"6/74 Warrandyte Road,RINGWOOD VIC",290000,07 Mar 2025,private treaty,1,1,0.0,81.0,Retirement Living
"10 Cowper Street,NORTH BENDIGO VIC",290000,04 Mar 2025,private treaty,1,1,0.0,845.0,House
"135a/8-34 Gladstone Park Drive,GLADSTONE PARK VIC",645000,28 Feb 2025,private treaty,1,1,0.0,845.0,House
"25 Palmerston Place,CARLTON VIC",812500,22 Feb 2025,auction,1,1,0.0,845.0,House
"4 Murphys Road,WALPEUP VIC 2,",44090,21 Feb 2025,auction,1,1,0.0,150.0,House
"1/5 Pleasant Street,KILSYTH VIC",295000,20 Feb 2025,private treaty,1,1,0.0,71.0,House
"29 King Street,CRESWICK VIC 2,",315000,19 Feb 2025,private treaty,1,1,0.0,266.0,House
"169 Gilbert Road,PRESTON VIC",680000,19 Feb 2025,private treaty,1,1,0.0,266.0,House
"23 Owen Street,CARLTON VIC",1135000,14 Feb 2025,private treaty,1,1,0.0,266.0,House
"102/25 Byron St,NORTH MELBOURNE VIC",320000,12 Feb 2025,private treaty,1,1,0.0,266.0,House
"766 Tallengower Road,CHETWYND VIC 32.4ha",250000,04 Feb 2025,private treaty,1,1,0.0,266.0,House
"58 Oberon Avenue,ST ALBANS VIC",625000,29 Jan 2025,private treaty,1,1,0.0,697.0,House
"13 Corby Street,BALWYN NORTH VIC",1932000,28 Jan 2025,private treaty,1,1,0.0,676.0,House
"Boatshed 22 Point Nepean Road,CAPEL SOUND VIC",225000,24 Jan 2025,private treaty,1,1,0.0,676.0,House
"35 Powlett Street,INVERLOCH VIC 1,",750000,24 Jan 2025,private treaty,1,1,0.0,977.0,House
"66 Dowling Street,MORTLAKE VIC",200000,22 Jan 2025,private treaty,1,1,0.0,589.0,House
"149 Simmons Reef Road,BLACKWOOD VIC 2,",465000,18 Jan 2025,private treaty,1,1,0.0,706.0,House
"26 Warbla Street,DANDENONG NORTH VIC",860000,06 Jan 2025,private treaty,1,1,0.0,581.0,House
"Boatshed 133 South Beach,MOUNT MARTHA VIC",625000,23 Dec 2024,private treaty,1,1,0.0,20.0,House
"26 Inkerman Street,MARYBOROUGH VIC",230000,17 Dec 2024,private treaty,1,1,0.0,509.0,House
"1469 Korumburra-Warragul Road,STRZELECKI VIC 1,",520000,09 Dec 2024,private treaty,1,1,0.0,15.0,House
"31 Anderson Street,BAIRNSDALE VIC 1,",425000,06 Dec 2024,private treaty,1,1,0.0,150.0,House
"51 Sanctuary Road,LOCH SPORT VIC",140000,06 Dec 2024,private treaty,1,1,0.0,650.0,Vacant land
"180 Rosebud Foreshore Boatshed,ROSEBUD VIC",110000,04 Dec 2024,private treaty,1,1,0.0,650.0,House
"19 Froomes Road,CASTLEMAINE VIC 4,",780000,28 Nov 2024,private treaty,1,1,0.0,0.0,House
"18 MacArthur Place North,CARLTON VIC",1180000,25 Nov 2024,private treaty,1,1,0.0,0.0,House
"2076 Tungamah-Peechelba Road,WILBY VIC 1.46ha",250000,25 Nov 2024,private treaty,1,1,0.0,0.0,House
"4 Fiander Avenue,GLEN WAVERLEY VIC",1775000,21 Nov 2024,auction,1,1,0.0,700.0,House
"29 Moubray Street,ALBERT PARK VIC",2000000,16 Nov 2024,auction,1,1,0.0,700.0,House
"20-22 Lawford Street,BARMAH VIC 3,",310000,15 Nov 2024,private treaty,1,1,0.0,849.0,House
"6 Moor Street,FITZROY VIC",1100000,09 Nov 2024,private treaty,1,1,0.0,849.0,House
"21 Raphael Street,ABBOTSFORD VIC",910000,07 Nov 2024,auction,1,1,0.0,849.0,House
"37B Hornsey Park,MILDURA VIC",202000,07 Nov 2024,private treaty,1,1,0.0,358.0,House
"17 North Beach,MOUNT MARTHA VIC",182500,07 Nov 2024,private treaty,1,1,0.0,19.0,House
"Berth 30 Martha Cove Waterway,SAFETY BEACH VIC",315000,07 Nov 2024,private treaty,1,1,0.0,77.0,House
"15 Grace Street,ST ALBANS VIC",600000,31 Oct 2024,private treaty,1,1,0.0,585.0,House
"81 South Beach,MOUNT MARTHA VIC",676500,29 Oct 2024,private treaty,1,1,0.0,585.0,House
"4 Dutton St,TOORA VIC",375000,28 Oct 2024,private treaty,1,1,0.0,842.0,House
"23 Trimble Street,DAYLESFORD VIC 2,",775000,25 Oct 2024,private treaty,1,1,0.0,488.0,House
"18 Petrie Street,FRANKSTON VIC",930000,21 Oct 2024,private treaty,1,1,0.0,967.0,House
"40b Molesworth (Aka 1 Youngs Lne) Street,NORTH MELBOURNE VIC",757500,19 Oct 2024,auction,1,1,0.0,967.0,House
"10 Blantyre Avenue,CHELSEA VIC",910000,15 Oct 2024,private treaty,1,1,0.0,548.0,House
"15 Yarra Links Way,BENTLEIGH EAST VIC",1090000,12 Oct 2024,auction,1,1,0.0,672.0,House
"8 Heywood Street,RINGWOOD VIC",555000,11 Oct 2024,sold prior to auction,1,1,0.0,402.0,Vacant land
"309/915 Collins Street,DOCKLANDS VIC",425000,10 Oct 2024,private treaty,1,1,0.0,402.0,House
"46 Jorgensen Parade,PHEASANT CREEK VIC 4,",625000,30 Sep 2024,private treaty,1,1,0.0,173.0,House
"33 York Street,SOUTH MELBOURNE VIC",795800,26 Sep 2024,private treaty,1,1,0.0,173.0,House
"11A Linlithgow Road,TOORAK VIC",8800000,23 Sep 2024,private treaty,1,1,0.0,893.0,House
"193 Moor Street,FITZROY VIC",950000,21 Sep 2024,auction,1,1,0.0,893.0,House
"119 Winmalee Road,BALWYN VIC",2740000,20 Sep 2024,private treaty,1,1,0.0,733.0,House
"84 Warren Road,VIEWBANK VIC",1066000,18 Sep 2024,private treaty,1,1,0.0,798.0,Vacant land
"13 Barrack Street,GOROKE VIC 1,",61500,14 Sep 2024,private treaty,1,1,0.0,175.0,House
"170 Skirkas Road,BUNINYONG VIC 3.08ha",420000,12 Sep 2024,private treaty,1,1,0.0,175.0,House
"7 Railway Road,THORPDALE VIC",240000,07 Sep 2024,auction,1,1,0.0,586.0,House
"33 Scandinavian Crescent,TALBOT VIC",250000,05 Sep 2024,private treaty,1,1,0.0,198.0,House
"44 Austin Crescent,PASCOE VALE VIC",1050000,03 Sep 2024,auction,1,1,0.0,974.0,House
"65 Bruce Street,MOUNT WAVERLEY VIC",1060000,29 Aug 2024,private treaty,1,1,0.0,511.0,House
"52-54 Sparks Road,NORLANE VIC 1,",655000,29 Aug 2024,private treaty,1,1,0.0,3.0,House
"98 Watton Street,PENSHURST VIC",130000,26 Aug 2024,private treaty,1,1,0.0,393.0,House
"204/44 Beach Street,FRANKSTON VIC",295000,23 Aug 2024,private treaty,1,1,0.0,393.0,House
"764 Lewis Road,WALMER VIC 53.29ha",500000,23 Aug 2024,private treaty,1,1,0.0,393.0,House
"1 Foster Street,ELSTERNWICK VIC",1785000,22 Aug 2024,private treaty,1,1,0.0,400.0,House
"2 Williamson Street,LEXTON VIC 8,",365000,22 Aug 2024,private treaty,1,1,0.0,93.0,House
"Boatshed 62 North Beach,MOUNT MARTHA VIC",220000,13 Aug 2024,private treaty,1,1,0.0,93.0,House
"22 Bankin Street,KATANDRA WEST VIC 1,",165000,09 Aug 2024,private treaty,1,1,0.0,938.0,House
"76 Bailey Street,AMPHITHEATRE VIC 4,",231000,01 Aug 2024,private treaty,1,1,0.0,50.0,House
"38 Amphlett Avenue,COCKATOO VIC 6,",510000,23 Jul 2024,private treaty,1,1,0.0,20.0,Vacant land
"46 Central Avenue,BAYSWATER NORTH VIC 1,",1126666,18 Jul 2024,private treaty,1,1,0.0,547.0,House
"17 Connell Street,HAWTHORN VIC",1150000,16 Jul 2024,private treaty,1,1,0.0,312.0,House
"275A The Esplanade,INDENTED HEAD VIC",750000,16 Jul 2024,private treaty,1,1,0.0,307.0,House
"6 Atley Street,CRAIGIEBURN VIC",683000,12 Jul 2024,private treaty,1,1,0.0,720.0,House
"4 Cooper Street,STAWELL VIC",145000,12 Jul 2024,private treaty,1,1,0.0,624.0,House
"19 Reefton Drive,MCMAHONS CREEK VIC 2,",615000,11 Jul 2024,private treaty,1,1,0.0,487.0,House
